dataTagId,description
,Grate 1 hydraulic pump 1 - B phase current
,Grate 2 hydraulic pump 1 - B phase current
,Grate 1 hydraulic pump 1 - vibration
,Grate 2 hydraulic pump 1 - vibration
,Grate 1 hydraulic pump 1 - bearing temperature
,Grate 2 hydraulic pump 1 - bearing temperature
,Fuel transportation screw 1 - R phase current
,Fuel transportation screw 2 - R phase current
,Fuel transportation screw 1 - Y phase current
,Fuel transportation screw 2 - Y phase current
,Fuel transportation screw 1 - B phase current
,Fuel transportation screw 2 - B phase current
,Fuel transportation screw 1 - vibration
,Fuel transportation screw 2 - vibration
,Fuel transportation screw 1 - bearing temperature
,Fuel transportation screw 2 - bearing temperature
,DUST COLLECTOR 1 RAV 1  - R phase current
,DUST COLLECTOR 1 RAV 1  - Y phase current
,DUST COLLECTOR 1 RAV 1  - B phase current
,DUST COLLECTOR 1 RAV 1  - vibration
,DUST COLLECTOR 1 RAV 1  - bearing temperature
,DUST COLLECTOR 1 RAV 1 START/STOP
,DUST COLLECTOR 1 RAV 1 RUN FEEDBACK
,DUST COLLECTOR 1 RAV 1 TRIP FEEDBACK
,LOAD BUCKET 1 CUT OFF
,LOAD BUCKET 2 CUT OFF
,LOAD BUCKET 3 CUT OFF
,LOAD BUCKET 4 CUT OFF
,LOAD BUCKET 5 CUT OFF
,GRATE 1 SCREW FEEDER 1 LOAD BUCKET 1 TUNING PARAMETER
,GRATE 1 SCREW FEEDER 1 LOAD BUCKET 2 TUNING PARAMETER
,GRATE 1 SCREW FEEDER 1 LOAD BUCKET 3 TUNING PARAMETER
,GRATE 1 SCREW FEEDER 1 LOAD BUCKET 4 TUNING PARAMETER
,GRATE 1 SCREW FEEDER 1 LOAD BUCKET 5 TUNING PARAMETER
,GRATE 2 SCREW FEEDER 1 LOAD BUCKET 1 TUNING PARAMETER
,GRATE 2 SCREW FEEDER 1 LOAD BUCKET 2 TUNING PARAMETER
,GRATE 2 SCREW FEEDER 1 LOAD BUCKET 3 TUNING PARAMETER
,GRATE 2 SCREW FEEDER 1 LOAD BUCKET 4 TUNING PARAMETER
,GRATE 2 SCREW FEEDER 1 LOAD BUCKET 5 TUNING PARAMETER
,GRATE 1 TROLLEY 1 LOAD BUCKET 1 TUNING PARAMETER
,GRATE 1 TROLLEY 1 LOAD BUCKET 2 TUNING PARAMETER
,GRATE 1 TROLLEY 1 LOAD BUCKET 3 TUNING PARAMETER
,GRATE 1 TROLLEY 1 LOAD BUCKET 4 TUNING PARAMETER
,GRATE 1 TROLLEY 1 LOAD BUCKET 5 TUNING PARAMETER
,GRATE 1 TROLLEY 2 LOAD BUCKET 1 TUNING PARAMETER
,GRATE 1 TROLLEY 2 LOAD BUCKET 2 TUNING PARAMETER
,GRATE 1 TROLLEY 2 LOAD BUCKET 3 TUNING PARAMETER
,GRATE 1 TROLLEY 2 LOAD BUCKET 4 TUNING PARAMETER
,GRATE 1 TROLLEY 2 LOAD BUCKET 5 TUNING PARAMETER
,GRATE 1 TROLLEY 3 LOAD BUCKET 1 TUNING PARAMETER
,GRATE 1 TROLLEY 3 LOAD BUCKET 2 TUNING PARAMETER
,GRATE 1 TROLLEY 3 LOAD BUCKET 3 TUNING PARAMETER
,GRATE 1 TROLLEY 3 LOAD BUCKET 4 TUNING PARAMETER
,GRATE 1 TROLLEY 3 LOAD BUCKET 5 TUNING PARAMETER
,GRATE 2 TROLLEY 1 LOAD BUCKET 1 TUNING PARAMETER
,GRATE 2 TROLLEY 1 LOAD BUCKET 2 TUNING PARAMETER
,GRATE 2 TROLLEY 1 LOAD BUCKET 3 TUNING PARAMETER
,GRATE 2 TROLLEY 1 LOAD BUCKET 4 TUNING PARAMETER
,GRATE 2 TROLLEY 1 LOAD BUCKET 5 TUNING PARAMETER
,GRATE 2 TROLLEY 2 LOAD BUCKET 1 TUNING PARAMETER
,GRATE 2 TROLLEY 2 LOAD BUCKET 2 TUNING PARAMETER
,GRATE 2 TROLLEY 2 LOAD BUCKET 3 TUNING PARAMETER
,GRATE 2 TROLLEY 2 LOAD BUCKET 4 TUNING PARAMETER
,GRATE 2 TROLLEY 2 LOAD BUCKET 5 TUNING PARAMETER
,GRATE 2 TROLLEY 3 LOAD BUCKET 1 TUNING PARAMETER
,GRATE 2 TROLLEY 3 LOAD BUCKET 2 TUNING PARAMETER
,GRATE 2 TROLLEY 3 LOAD BUCKET 3 TUNING PARAMETER
,GRATE 2 TROLLEY 3 LOAD BUCKET 4 TUNING PARAMETER
,GRATE 2 TROLLEY 3 LOAD BUCKET 5 TUNING PARAMETER
,GRATE 1 PRIMARY DAMPER 1 LOAD BUCKET 1 TUNING PARAMETER
,GRATE 1 PRIMARY DAMPER 1 LOAD BUCKET 2 TUNING PARAMETER
,GRATE 1 PRIMARY DAMPER 1 LOAD BUCKET 3 TUNING PARAMETER
,GRATE 1 PRIMARY DAMPER 1 LOAD BUCKET 4 TUNING PARAMETER
,GRATE 1 PRIMARY DAMPER 1 LOAD BUCKET 5 TUNING PARAMETER
,GRATE 1 PRIMARY DAMPER 2 LOAD BUCKET 1 TUNING PARAMETER
,GRATE 1 PRIMARY DAMPER 2 LOAD BUCKET 2 TUNING PARAMETER
,GRATE 1 PRIMARY DAMPER 2 LOAD BUCKET 3 TUNING PARAMETER
,GRATE 1 PRIMARY DAMPER 2 LOAD BUCKET 4 TUNING PARAMETER
,GRATE 1 PRIMARY DAMPER 2 LOAD BUCKET 5 TUNING PARAMETER
,GRATE 1 PRIMARY DAMPER 3 LOAD BUCKET 1 TUNING PARAMETER
,GRATE 1 PRIMARY DAMPER 3 LOAD BUCKET 2 TUNING PARAMETER
,GRATE 1 PRIMARY DAMPER 3 LOAD BUCKET 3 TUNING PARAMETER
,GRATE 1 PRIMARY DAMPER 3 LOAD BUCKET 4 TUNING PARAMETER
,GRATE 1 PRIMARY DAMPER 3 LOAD BUCKET 5 TUNING PARAMETER
,GRATE 1 PRIMARY DAMPER 4 LOAD BUCKET 1 TUNING PARAMETER
,GRATE 1 PRIMARY DAMPER 4 LOAD BUCKET 2 TUNING PARAMETER
,GRATE 1 PRIMARY DAMPER 4 LOAD BUCKET 3 TUNING PARAMETER
,GRATE 1 PRIMARY DAMPER 4 LOAD BUCKET 4 TUNING PARAMETER
,GRATE 1 PRIMARY DAMPER 4 LOAD BUCKET 5 TUNING PARAMETER
,GRATE 2 PRIMARY DAMPER 1 LOAD BUCKET 1 TUNING PARAMETER
,GRATE 2 PRIMARY DAMPER 1 LOAD BUCKET 2 TUNING PARAMETER
,GRATE 2 PRIMARY DAMPER 1 LOAD BUCKET 3 TUNING PARAMETER
,GRATE 2 PRIMARY DAMPER 1 LOAD BUCKET 4 TUNING PARAMETER
,GRATE 2 PRIMARY DAMPER 1 LOAD BUCKET 5 TUNING PARAMETER
,GRATE 2 PRIMARY DAMPER 2 LOAD BUCKET 1 TUNING PARAMETER
,GRATE 2 PRIMARY DAMPER 2 LOAD BUCKET 2 TUNING PARAMETER
,GRATE 2 PRIMARY DAMPER 2 LOAD BUCKET 3 TUNING PARAMETER
,GRATE 2 PRIMARY DAMPER 2 LOAD BUCKET 4 TUNING PARAMETER
,GRATE 2 PRIMARY DAMPER 2 LOAD BUCKET 5 TUNING PARAMETER
,GRATE 2 PRIMARY DAMPER 3 LOAD BUCKET 1 TUNING PARAMETER
,GRATE 2 PRIMARY DAMPER 3 LOAD BUCKET 2 TUNING PARAMETER
,GRATE 2 PRIMARY DAMPER 3 LOAD BUCKET 3 TUNING PARAMETER
,GRATE 2 PRIMARY DAMPER 3 LOAD BUCKET 4 TUNING PARAMETER
,GRATE 2 PRIMARY DAMPER 3 LOAD BUCKET 5 TUNING PARAMETER
,GRATE 2 PRIMARY DAMPER 4 LOAD BUCKET 1 TUNING PARAMETER
,GRATE 2 PRIMARY DAMPER 4 LOAD BUCKET 2 TUNING PARAMETER
,GRATE 2 PRIMARY DAMPER 4 LOAD BUCKET 3 TUNING PARAMETER
,GRATE 2 PRIMARY DAMPER 4 LOAD BUCKET 4 TUNING PARAMETER
,GRATE 2 PRIMARY DAMPER 4 LOAD BUCKET 5 TUNING PARAMETER
,GRATE 1 SECONDARY DAMPER 1 LOAD BUCKET 1 TUNING PARAMETER
,GRATE 1 SECONDARY DAMPER 1 LOAD BUCKET 2 TUNING PARAMETER
,GRATE 1 SECONDARY DAMPER 1 LOAD BUCKET 3 TUNING PARAMETER
,GRATE 1 SECONDARY DAMPER 1 LOAD BUCKET 4 TUNING PARAMETER
,GRATE 1 SECONDARY DAMPER 1 LOAD BUCKET 5 TUNING PARAMETER
,GRATE 1 SECONDARY DAMPER 2 LOAD BUCKET 1 TUNING PARAMETER
,GRATE 1 SECONDARY DAMPER 2 LOAD BUCKET 2 TUNING PARAMETER
,GRATE 1 SECONDARY DAMPER 2 LOAD BUCKET 3 TUNING PARAMETER
,GRATE 1 SECONDARY DAMPER 2 LOAD BUCKET 4 TUNING PARAMETER
,GRATE 1 SECONDARY DAMPER 2 LOAD BUCKET 5 TUNING PARAMETER
,GRATE 2 SECONDARY DAMPER 1 LOAD BUCKET 1 TUNING PARAMETER
,GRATE 2 SECONDARY DAMPER 1 LOAD BUCKET 2 TUNING PARAMETER
,GRATE 2 SECONDARY DAMPER 1 LOAD BUCKET 3 TUNING PARAMETER
,GRATE 2 SECONDARY DAMPER 1 LOAD BUCKET 4 TUNING PARAMETER
,GRATE 2 SECONDARY DAMPER 1 LOAD BUCKET 5 TUNING PARAMETER
,GRATE 2 SECONDARY DAMPER 2 LOAD BUCKET 1 TUNING PARAMETER
,GRATE 2 SECONDARY DAMPER 2 LOAD BUCKET 2 TUNING PARAMETER
,GRATE 2 SECONDARY DAMPER 2 LOAD BUCKET 3 TUNING PARAMETER
,GRATE 2 SECONDARY DAMPER 2 LOAD BUCKET 4 TUNING PARAMETER
,GRATE 2 SECONDARY DAMPER 2 LOAD BUCKET 5 TUNING PARAMETER
